rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND
1, 1.611916477589397e-05, 1.6119243182333282e-05, 1.611942918664379e-05, 1.6119361219809705e-05, 1.6119361313090042e-05, 1.611930768071211e-05, 1.611947415060904e-05, 1.611947415060904e-05, 1.611916477589397e-05
2, 1.611919930625963e-05, 1.6119243182333282e-05, 1.611926337270861e-05, 1.6119243182333282e-05, 1.6119247789380343e-05, 1.6119247789380343e-05, 1.611919930625963e-05, 1.611919930625963e-05, 1.611930768071211e-05
3, 1.6119361313090042e-05, 1.611919930625963e-05, 1.611924137209787e-05, 1.6119077516167617e-05, 1.611942918664379e-05, 1.611930768071211e-05, 1.6119398097326676e-05, 1.611942918664379e-05, 1.6118889908837546e-05
4, 1.6119243182333282e-05, 1.611947415060904e-05, 1.611919930625963e-05, 1.611908861926246e-05, 1.611930768071211e-05, 1.6119361219809705e-05, 1.611924137209787e-05, 1.611930768071211e-05, 1.6119243182333282e-05
5, 1.611880745816118e-05, 1.611938722323947e-05, 1.611947415060904e-05, 1.6119243182333282e-05, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.611919930625963e-05, 1.6119243182333282e-05, 1.6119361313090042e-05
6, 1.6119247789380343e-05, 1.611930768071211e-05, 1.611924137209787e-05, 1.611924137209787e-05, 1.611942918664379e-05, 1.611919930625963e-05, 1.611926337270861e-05, 1.611919930625963e-05, 1.611919930625963e-05
7, 1.6118626787809376e-05, 1.611924137209787e-05, 1.611916477589397e-05, 1.611924137209787e-05, 1.6119077516167617e-05, 1.6119243182333282e-05, 1.611924137209787e-05, 1.611924137209787e-05, 1.611926337270861e-05
8, 1.611916477589397e-05, 1.6119243182333282e-05, 1.6119243182333282e-05, 1.611942918664379e-05, 1.6119077516167617e-05, 1.6119077516167617e-05, 1.611919930625963e-05, 1.611919930625963e-05, 1.6119243182333282e-05
9, 1.611926337270861e-05, 1.611926337270861e-05, 1.611916477589397e-05, 1.611924137209787e-05, 1.6119242353475622e-05, 1.611926337270861e-05, 1.6119427883306538e-05, 1.6119218083833604e-05, 1.6119218083833604e-05
10, 1.6119077516167617e-05, 1.6119242353475622e-05, 1.6119077516167617e-05, 1.611926337270861e-05, 1.611919930625963e-05, 1.611924137209787e-05, 1.611942918664379e-05, 1.611919930625963e-05, 1.611919930625963e-05
