rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
1, 4.956906700349628e-05, 4.956906700349628e-05, 4.956990087851581e-05, 4.956070848306883e-05, 4.947098814738397e-05, 4.947262210805935e-05, 4.957142993235553e-05, 4.956990087851581e-05, 4.9425972410752765e-05, 4.956919336716654e-05
2, 4.956906700349628e-05, 4.956673067919473e-05, 4.956544876906876e-05, 4.956906700349628e-05, 4.947666975553359e-05, 4.9471408461320114e-05, 4.956298062390139e-05, 4.956990087851581e-05, 4.9464325018832695e-05, 4.957142981686117e-05
3, 4.956906700349628e-05, 4.956990087851581e-05, 4.957142993235553e-05, 4.956990087851581e-05, 4.947667778233293e-05, 4.9475692343884524e-05, 4.956990087851581e-05, 4.956908645876156e-05, 4.956990087851581e-05, 4.957142981686117e-05
4, 4.957142993235553e-05, 4.956412855062472e-05, 4.955243119060693e-05, 4.956906700349628e-05, 4.947160120865328e-05, 4.955835443794896e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.955611945029987e-05
5, 4.956990087851581e-05, 4.955725587249319e-05, 4.956990087851581e-05, 4.9558406984777106e-05, 4.9559960424474445e-05, 4.9480293972209735e-05, 4.956399625308857e-05, 4.956990087851581e-05, 4.9189050276067394e-05, 4.9560964390236844e-05
6, 4.9565984605681116e-05, 4.955728853872805e-05, 4.956317918025011e-05, 4.956083643509436e-05, 4.947590783098992e-05, 4.955768633052451e-05, 4.957142993235553e-05, 4.956906700349628e-05, 4.956990087851581e-05, 4.957142981686117e-05
7, 4.956906700349628e-05, 4.956906700349628e-05, 4.9555694319032114e-05, 4.956544876906876e-05, 4.9558052959583715e-05, 4.955906694263903e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.907692892388044e-05, 4.957000921560155e-05
8, 4.956906700349628e-05, 4.956906700349628e-05, 4.956317918025011e-05, 4.957142993235553e-05, 4.9477501636123754e-05, 4.94775061306947e-05, 4.956910693373709e-05, 4.956906700349628e-05, 4.955179172772489e-05, 4.948009658374725e-05
9, 4.94480019484463e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.947488774325957e-05, 4.947275785636161e-05, 4.956906700349628e-05, 4.956990087851581e-05, 4.956990087851581e-05, 4.956906859077802e-05
10, 4.9568113136810417e-05, 4.956910693373709e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.945622400986654e-05, 4.947369399975596e-05, 4.957142993235553e-05, 4.957142993235553e-05, 4.9476452621685166e-05, 4.956452434689515e-05
11, 4.956908645876156e-05, 4.9560926995718413e-05, 4.9552303095364856e-05, 4.9552303095364856e-05, 4.948014818374946e-05, 4.945742520495696e-05, 4.956990087851581e-05, 4.956317918025011e-05, 4.955306639004565e-05, 4.956989883414623e-05
12, 4.956910693373709e-05, 4.956906700349628e-05, 4.956990087851581e-05, 4.956083643509436e-05, 4.947746154488082e-05, 4.947730339110588e-05, 4.956906700349628e-05, 4.956906700349628e-05, 4.946831092609112e-05, 4.956886703383772e-05
