rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND, SSO
1, 4.9068941314151895e-05, 4.906789006247357e-05, 4.906949027535517e-05, 4.9070724952023735e-05, 4.906746348699746e-05, 4.9068728702553396e-05, 4.9068020745673596e-05, 4.906595555678216e-05, 4.906895964444325e-05, 4.907345577570345e-05
2, 4.906974268307134e-05, 4.90699679712144e-05, 4.906998232689039e-05, 4.906961958498603e-05, 4.906856954903885e-05, 4.906954870827616e-05, 4.906731797111959e-05, 4.9068496525270625e-05, 4.906866186137052e-05, 4.907345577570345e-05
3, 4.9069195827848695e-05, 4.906855998796665e-05, 4.906985771788015e-05, 4.906905974979367e-05, 4.9069918891817306e-05, 4.906744261779109e-05, 4.906938289186234e-05, 4.9068728702553396e-05, 4.9068787663364706e-05, 4.907345577570345e-05
4, 4.906902819354594e-05, 4.906985771788015e-05, 4.9068861444033957e-05, 4.906985771788015e-05, 4.906866186137052e-05, 4.906867463921594e-05, 4.9071017359072104e-05, 4.9068728702553396e-05, 4.907017303521001e-05, 4.907261385792584e-05
5, 4.906950104792129e-05, 4.906789407363185e-05, 4.906839519428744e-05, 4.907070591248079e-05, 4.9068436134978344e-05, 4.906744261779109e-05, 4.906796681150242e-05, 4.9068979385698394e-05, 4.9067242362912545e-05, 4.907312653066133e-05
6, 4.9068345304232987e-05, 4.906911416310755e-05, 4.90673733026841e-05, 4.9070780568185645e-05, 4.9067242362912545e-05, 4.9068574870110606e-05, 4.9068574870110606e-05, 4.90688262595622e-05, 4.906859751236733e-05, 4.907269381491199e-05
7, 4.9068861444033957e-05, 4.906678299581827e-05, 4.907006585821367e-05, 4.907070591248079e-05, 4.906954870827616e-05, 4.90701905453333e-05, 4.906859751236733e-05, 4.906985771788015e-05, 4.906905974979367e-05, 4.907312653066133e-05
8, 4.9066526802623606e-05, 4.906954870827616e-05, 4.907007358988983e-05, 4.907070591248079e-05, 4.906805837518719e-05, 4.9068450379003276e-05, 4.906895960832681e-05, 4.906864241892959e-05, 4.906973005395564e-05, 4.907345577570345e-05
9, 4.9069288934701394e-05, 4.9069325244278627e-05, 4.906866186137052e-05, 4.907070591248079e-05, 4.906746348699746e-05, 4.906746348699746e-05, 4.9068939190506784e-05, 4.9070564184292305e-05, 4.906856954903885e-05, 4.907345577570345e-05
10, 4.906759076835365e-05, 4.906987340262616e-05, 4.9067218650528005e-05, 4.907070591248079e-05, 4.9068728702553396e-05, 4.906810358653785e-05, 4.906985771788015e-05, 4.9068787663364706e-05, 4.906954870827616e-05, 4.907261385792584e-05
11, 4.906866186137052e-05, 4.9068773214485676e-05, 4.906807072896741e-05, 4.907062875035137e-05, 4.906870555455064e-05, 4.906647072422995e-05, 4.906985771788015e-05, 4.9068938150354146e-05, 4.9068354865221516e-05, 4.907237398853074e-05
12, 4.906866186137052e-05, 4.906774684818056e-05, 4.907056175229295e-05, 4.907070591248079e-05, 4.906872269524249e-05, 4.9068728702553396e-05, 4.9068728702553396e-05, 4.90680336531994e-05, 4.9068728702553396e-05, 4.907272673887757e-05
13, 4.906739877758829e-05, 4.907057218581267e-05, 4.906839008994827e-05, 4.906898115059001e-05, 4.906746348699746e-05, 4.906739877758829e-05, 4.906739877758829e-05, 4.906689913867383e-05, 4.906813873626567e-05, 4.907345577570345e-05
14, 4.9068574870110606e-05, 4.906840260521196e-05, 4.906985771788015e-05, 4.907104782947691e-05, 4.906613603809919e-05, 4.90686164780423e-05, 4.9067242362912545e-05, 4.906842060765228e-05, 4.9068728702553396e-05, 4.907312653066133e-05
15, 4.906954870827616e-05, 4.9069159321024846e-05, 4.906748573097152e-05, 4.9068728702553396e-05, 4.9067984199667866e-05, 4.9069325244278627e-05, 4.90687489685105e-05, 4.9068979385698394e-05, 4.9069122725167486e-05, 4.907261385792584e-05
16, 4.9069304380711934e-05, 4.9069379087531786e-05, 4.907011145130029e-05, 4.9070724952023735e-05, 4.906887007101505e-05, 4.906827334533357e-05, 4.906990630354445e-05, 4.9069311505383195e-05, 4.9068492988334093e-05, 4.9074057834105165e-05
17, 4.906807830833126e-05, 4.9068574870110606e-05, 4.9070155893504875e-05, 4.907072954636614e-05, 4.9066799323822335e-05, 4.906870555455064e-05, 4.9068574870110606e-05, 4.9069442981100966e-05, 4.906807830833126e-05, 4.907345577570345e-05
18, 4.906813174917282e-05, 4.9068728702553396e-05, 4.907051200953139e-05, 4.9070182623397534e-05, 4.9068574870110606e-05, 4.906765758976505e-05, 4.9068728702553396e-05, 4.906810358653785e-05, 4.9068938150354146e-05, 4.907312653066133e-05
